t,channel,pdr_mean,pdr_worst,pdr_spread,n_links,links_degraded,rssi_mean,rssi_per_link,pdr_per_link,noise_dbm,meas_floor_dbm,band_power,hb_gap_max,data_tx,data_rx,rx_ok,rx_err,rev_rssi_per_link,rev_pdr_per_link,rev_age_per_link,tx_attempts,tx_acked,tx_defer_ms,tx_retry_depth,shadow_exp,shadow_miss,silent_exp,silent_miss
1.000,6,0.400,0.300,0.082,3,3,-78.026,"-79.2 -81.2 -73.7","0.300 0.400 0.500",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.173,0,0,16,13,"-7e+01 -1e+02 -8e+01","1 -1 0","0.17 1e+03 0.023",5,5,0.00,0.00,0,0,11,2
1.100,6,1.000,1.000,0.000,3,0,-80.559,"-79.2 -81.0 -81.5","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,2,0,19,15,"-8e+01 -1e+02 -8e+01","1 -1 0.498","0.073 1e+03 0.023",1,1,0.01,0.00,0,0,4,1
1.200,6,1.000,1.000,0.000,3,0,-79.263,"-79.2 -81.7 -76.9","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.173,4,0,21,18,"-8e+01 -1e+02 -8e+01","1 -1 0.498","0.17 1e+03 0.023",1,1,0.01,0.00,0,0,2,0
1.300,6,1.000,1.000,0.000,3,0,-76.616,"-79.2 -77.8 -72.9","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.273,6,0,23,21,"-8e+01 -1e+02 -8e+01","1 -1 0.498","0.27 1e+03 0.023",1,1,0.02,0.00,0,0,2,0
1.400,6,1.000,1.000,0.000,3,0,-78.150,"-76.8 -79.8 -77.8","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,8,0,26,23,"-8e+01 -1e+02 -8e+01","1 -1 0.498","0.073 1e+03 0.023",1,1,0.00,0.00,0,0,5,2
1.500,6,1.000,1.000,0.000,3,0,-80.120,"-78.6 -79.8 -81.9","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.148,10,0,28,26,"-7e+01 -1e+02 -8e+01","1 -1 0.498","0.073 1e+03 0.023",1,1,0.01,0.00,0,0,2,0
1.600,6,0.952,0.857,0.067,3,0,-77.837,"-78.6 -79.8 -75.1","0.857 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.248,12,0,29,30,"-7e+01 -1e+02 -8e+01","1 -1 0.498","0.17 1e+03 0.023",1,1,0.01,0.00,0,0,1,0
1.700,6,0.958,0.875,0.059,3,0,-78.621,"-74.2 -79.7 -82.0","0.875 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,14,0,32,32,"-8e+01 -1e+02 -8e+01","1 -1 0.373","0.073 1e+03 0.023",1,1,0.02,0.00,0,0,6,3
1.800,6,0.963,0.889,0.052,3,0,-79.810,"-75.9 -81.6 -81.9","0.889 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,16,0,35,34,"-8e+01 -1e+02 -8e+01","1 -1 0.443","0.073 1e+03 0.023",1,1,0.02,0.00,0,0,3,0
1.900,6,0.967,0.900,0.047,3,0,-79.155,"-77.7 -81.6 -78.2","0.900 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,18,0,38,36,"-8e+01 -1e+02 -8e+01","1 -1 0.443","0.073 1e+03 0.023",1,1,0.00,0.00,0,0,3,0
